AGEP,WKHP,COW,MAR,POBP,RELP,RAC1P,SEX,PINCP
47.0,40.0,1.0,1.0,247.0,0.0,6.0,0,0
55.0,40.0,3.0,1.0,6.0,1.0,1.0,1,1
20.0,30.0,1.0,5.0,6.0,2.0,1.0,1,0
31.0,40.0,1.0,1.0,150.0,0.0,1.0,1,1
37.0,42.0,1.0,1.0,6.0,2.0,1.0,0,1
29.0,60.0,1.0,5.0,6.0,0.0,1.0,0,1
36.0,40.0,1.0,1.0,6.0,1.0,1.0,1,0
17.0,3.0,4.0,5.0,6.0,2.0,2.0,1,0
59.0,30.0,7.0,1.0,6.0,0.0,1.0,0,0
51.0,40.0,5.0,3.0,28.0,0.0,2.0,0,1
51.0,24.0,6.0,1.0,312.0,0.0,8.0,0,0
64.0,50.0,6.0,1.0,6.0,0.0,1.0,0,0
61.0,40.0,1.0,1.0,303.0,0.0,1.0,0,0
58.0,40.0,1.0,4.0,303.0,0.0,8.0,1,1
36.0,54.0,1.0,1.0,303.0,0.0,1.0,0,0
20.0,30.0,1.0,5.0,6.0,2.0,1.0,0,0
61.0,8.0,6.0,1.0,224.0,0.0,1.0,1,0
58.0,50.0,1.0,1.0,6.0,1.0,1.0,0,1
24.0,28.0,1.0,5.0,6.0,12.0,1.0,1,0
52.0,32.0,1.0,4.0,72.0,0.0,1.0,0,1
27.0,40.0,1.0,1.0,207.0,0.0,6.0,0,1
21.0,28.0,1.0,5.0,6.0,0.0,1.0,1,0
26.0,40.0,1.0,5.0,313.0,15.0,1.0,0,0
46.0,40.0,1.0,1.0,215.0,0.0,9.0,1,0
72.0,50.0,1.0,1.0,233.0,1.0,6.0,1,0
56.0,40.0,1.0,1.0,8.0,0.0,1.0,0,1
25.0,45.0,1.0,5.0,12.0,2.0,9.0,0,0
54.0,15.0,6.0,1.0,12.0,0.0,8.0,1,0
35.0,40.0,5.0,1.0,40.0,0.0,1.0,0,1
39.0,40.0,2.0,5.0,6.0,17.0,1.0,1,0
31.0,50.0,7.0,1.0,6.0,1.0,3.0,1,1
67.0,50.0,6.0,1.0,6.0,2.0,1.0,0,1
55.0,40.0,1.0,1.0,18.0,1.0,1.0,0,0
62.0,40.0,1.0,1.0,303.0,0.0,8.0,0,0
57.0,40.0,1.0,3.0,6.0,12.0,8.0,1,0
52.0,20.0,6.0,3.0,139.0,0.0,6.0,1,1
29.0,32.0,1.0,5.0,6.0,0.0,8.0,0,0
36.0,50.0,2.0,5.0,312.0,0.0,9.0,0,0
19.0,20.0,4.0,5.0,6.0,16.0,1.0,0,0
61.0,32.0,1.0,2.0,233.0,17.0,6.0,1,0
52.0,40.0,6.0,3.0,6.0,2.0,1.0,1,0
43.0,20.0,6.0,5.0,6.0,2.0,6.0,1,0
19.0,35.0,1.0,5.0,6.0,2.0,1.0,0,0
62.0,40.0,1.0,1.0,209.0,0.0,6.0,0,0
32.0,60.0,1.0,1.0,215.0,0.0,6.0,1,0
64.0,40.0,3.0,3.0,303.0,0.0,8.0,1,1
27.0,45.0,3.0,5.0,6.0,12.0,9.0,1,1
30.0,42.0,1.0,5.0,212.0,12.0,1.0,0,1
52.0,55.0,1.0,1.0,17.0,1.0,1.0,0,1
23.0,40.0,1.0,5.0,6.0,10.0,2.0,0,0
56.0,40.0,1.0,1.0,15.0,1.0,6.0,0,1
47.0,40.0,1.0,5.0,312.0,0.0,8.0,1,0
60.0,45.0,6.0,1.0,247.0,1.0,6.0,1,0
28.0,40.0,1.0,5.0,303.0,10.0,8.0,0,0
42.0,40.0,1.0,5.0,6.0,13.0,2.0,0,0
51.0,20.0,1.0,1.0,6.0,2.0,8.0,1,0
25.0,15.0,1.0,5.0,6.0,2.0,6.0,0,0
60.0,39.0,1.0,2.0,6.0,0.0,1.0,1,0
45.0,55.0,4.0,1.0,16.0,1.0,1.0,0,1
26.0,40.0,3.0,5.0,6.0,0.0,1.0,1,0
24.0,40.0,1.0,5.0,6.0,12.0,1.0,0,0
36.0,40.0,1.0,1.0,6.0,0.0,1.0,0,0
33.0,40.0,1.0,1.0,6.0,1.0,1.0,0,0
32.0,50.0,1.0,5.0,303.0,2.0,1.0,0,0
21.0,40.0,1.0,5.0,6.0,0.0,1.0,1,0
35.0,45.0,5.0,5.0,42.0,0.0,6.0,1,1
28.0,31.0,2.0,5.0,6.0,5.0,6.0,1,0
25.0,20.0,1.0,3.0,6.0,0.0,6.0,1,0
65.0,40.0,1.0,1.0,6.0,1.0,1.0,0,1
54.0,40.0,1.0,1.0,17.0,2.0,1.0,1,0
78.0,45.0,1.0,1.0,303.0,8.0,1.0,1,0
43.0,60.0,1.0,1.0,6.0,0.0,1.0,0,1
33.0,40.0,1.0,1.0,202.0,1.0,6.0,1,0
47.0,50.0,1.0,1.0,6.0,1.0,1.0,1,0
22.0,35.0,1.0,5.0,48.0,11.0,1.0,1,0
29.0,40.0,1.0,5.0,6.0,13.0,6.0,0,1
57.0,40.0,2.0,1.0,6.0,1.0,1.0,1,1
40.0,60.0,1.0,1.0,138.0,0.0,1.0,0,1
28.0,20.0,2.0,1.0,6.0,0.0,9.0,1,0
27.0,75.0,1.0,5.0,207.0,0.0,6.0,1,0
46.0,40.0,6.0,1.0,327.0,0.0,8.0,0,1
45.0,40.0,1.0,1.0,36.0,9.0,1.0,0,1
49.0,40.0,3.0,4.0,6.0,0.0,1.0,0,1
59.0,25.0,6.0,5.0,26.0,0.0,9.0,1,1
62.0,40.0,2.0,1.0,36.0,1.0,1.0,1,1
19.0,20.0,3.0,5.0,6.0,17.0,6.0,1,0
50.0,60.0,1.0,1.0,6.0,1.0,6.0,0,1
62.0,40.0,1.0,1.0,8.0,1.0,1.0,0,1
56.0,45.0,1.0,1.0,6.0,0.0,1.0,1,1
73.0,8.0,6.0,1.0,56.0,0.0,1.0,0,1
40.0,50.0,1.0,5.0,6.0,0.0,1.0,1,1
47.0,40.0,1.0,1.0,50.0,1.0,1.0,0,1
31.0,40.0,1.0,1.0,303.0,9.0,1.0,1,0
49.0,18.0,3.0,5.0,17.0,0.0,1.0,0,0
18.0,40.0,1.0,5.0,233.0,15.0,6.0,0,0
27.0,36.0,1.0,5.0,40.0,0.0,1.0,1,1
56.0,24.0,2.0,1.0,6.0,0.0,1.0,1,0
61.0,40.0,7.0,1.0,6.0,1.0,1.0,1,1
